Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00001,C00026,"P00016,P00553,P00333,P00476,P00031",03/03/2025,MK
INV00002,C00861,"P00307,P00472,P00494,P00351,P00186",25/09/2025,CYB
INV00003,C00391,"P00505,P00336,P00317",05/01/2024,ST
INV00004,C00408,"P00264,P00526,P00444",02/10/2024,MK
INV00005,C01282,"P00332,P00203,P00335,P00386",08/03/2025,TKO
INV00006,C01553,"P00290,P00142",07/04/2025,TKO
INV00007,C01345,"P00311,P00001,P00068",20/05/2025,CYB
INV00008,C00144,"P00405,P00556",11/06/2024,MK
INV00009,C01178,"P00290,P00542,P00447,P00310,P00006",06/12/2024,TKO
INV00010,C00517,"P00021,P00181,P00439",06/11/2025,CYB
INV00011,C00088,"P00010,P00479",05/08/2025,ST
INV00012,C00883,"P00021,P00181,P00439",21/03/2024,MK
INV00013,C00931,"P00163,P00394,P00170,P00246",17/02/2024,CYB
INV00014,C00377,"P00505,P00336,P00317",04/04/2025,CYB
INV00015,C00443,"P00076,P00128,P00322",19/05/2025,MK
INV00016,C01143,"P00505,P00336,P00317,P00137",23/11/2024,ST
INV00017,C00629,"P00030,P00433,P00254,P00144",28/03/2025,MK
INV00018,C00321,"P00505,P00336,P00317,P00516,P00078",02/08/2024,TKO
INV00019,C01739,"P00019,P00500,P00574,P00443,P00285",17/12/2024,ST
INV00020,C01829,"P00293,P00514,P00047,P00115,P00224",05/11/2024,TKO
INV00021,C00338,P00326,15/12/2025,CYB
INV00022,C01170,"P00505,P00336,P00317,P00375,P00514",01/11/2025,MK
INV00023,C01516,"P00061,P00549,P00271,P00246,P00483",28/02/2025,TKO
INV00024,C00736,P00026,18/01/2024,MK
INV00025,C01708,"P00526,P00030,P00168,P00514,P00007",24/03/2024,TKO
INV00026,C00834,"P00021,P00181,P00439",27/03/2025,ST
INV00027,C00248,"P00021,P00181,P00439",12/09/2024,CYB
INV00028,C01602,"P00395,P00148",05/07/2025,CYB
INV00029,C01465,"P00009,P00222,P00300,P00242",02/02/2024,MK
INV00030,C01695,"P00021,P00181,P00439",08/02/2024,ST
INV00031,C01050,"P00355,P00209",18/12/2024,TKO
