Customer id,Gender,Age,Payment method
C00001,F,24,Cash
C00002,M,19,Credit Card
C00003,M,60,Credit Card
C00004,F,30,Credit Card
C00005,M,57,Mobile Payment
C00006,M,57,Cash
C00007,M,58,Credit Card
C00008,F,45,Cash
C00009,M,44,Cash
C00010,F,66,Credit Card
C00011,M,46,Cash
C00012,M,60,Cash
C00013,F,59,Cash
C00014,M,66,Cash
C00015,F,41,Mobile Payment
C00016,F,20,Cash
C00017,M,47,Credit Card
C00018,F,34,Credit Card
C00019,F,60,Cash
C00020,F,27,Mobile Payment
C00021,F,21,Cash
C00022,M,32,Cash
C00023,F,45,Credit Card
C00024,M,30,Credit Card
C00025,F,28,Mobile Payment
C00026,M,65,Credit Card
C00027,F,41,Mobile Payment
C00028,M,45,Cash
C00029,F,70,Mobile Payment
C00030,M,22,Credit Card
C00031,F,30,Credit Card
C00032,M,33,Credit Card
C00033,M,49,Cash
C00034,F,70,Cash
C00035,M,26,Credit Card
C00036,F,25,Cash
C00037,F,68,Cash
C00038,F,52,Credit Card
C00039,F,47,Credit Card
C00040,F,70,Cash
C00041,M,37,Cash
C00042,F,27,Cash
C00043,F,50,Cash
C00044,M,37,Cash
C00045,F,54,Credit Card
C00046,M,61,Cash
C00047,F,65,Credit Card
C00048,M,50,Credit Card
C00049,M,36,Cash
C00050,M,49,Mobile Payment
C00051,F,37,Cash
C00052,F,50,Credit Card
C00053,M,21,Credit Card
C00054,F,57,Credit Card
C00055,F,59,Mobile Payment
C00056,M,23,Cash
C00057,F,59,Cash
C00058,M,44,Cash
C00059,M,21,Credit Card
C00060,M,45,Credit Card
C00061,F,61,Cash
C00062,M,35,Cash
C00063,F,62,Credit Card
C00064,F,64,Credit Card
C00065,M,56,Credit Card
C00066,M,33,Cash
C00067,F,60,Cash
C00068,M,32,Cash
C00069,F,20,Cash
C00070,F,46,Cash
C00071,F,38,Cash
C00072,M,68,Cash
C00073,F,25,Credit Card
C00074,M,25,Cash
C00075,M,32,Cash
C00076,M,45,Credit Card
C00077,M,26,Cash
C00078,M,55,Credit Card
C00079,M,36,Mobile Payment
C00080,F,43,Mobile Payment
C00081,F,54,Cash
C00082,M,38,Cash
C00083,F,36,Cash
C00084,M,56,Credit Card
C00085,F,20,Cash
C00086,M,34,Cash
C00087,F,35,Credit Card
C00088,M,20,Credit Card
C00089,M,70,Credit Card
C00090,M,30,Mobile Payment
C00091,F,65,Mobile Payment
C00092,F,23,Cash
C00093,F,31,Credit Card
C00094,M,34,Cash
C00095,F,41,Credit Card
C00096,M,58,Credit Card
C00097,M,38,Credit Card
C00098,M,43,Cash
C00099,M,61,Credit Card
C00100,M,58,Credit Card
C00101,M,21,Cash
C00102,F,62,Cash
C00103,F,63,Credit Card
C00104,M,64,Mobile Payment
C00105,M,70,Mobile Payment
C00106,M,43,Cash
C00107,M,46,Credit Card
C00108,F,29,Credit Card
C00109,M,37,Cash
C00110,M,60,Mobile Payment
C00111,M,57,Cash
C00112,M,45,Cash
C00113,M,19,Mobile Payment
C00114,F,22,Cash
C00115,M,36,Mobile Payment
C00116,F,27,Credit Card
C00117,M,44,Mobile Payment
C00118,F,22,Cash
C00119,F,37,Cash
C00120,M,32,Cash
C00121,M,32,Credit Card
C00122,M,28,Credit Card
C00123,F,36,Cash
C00124,F,62,Credit Card
C00125,F,36,Credit Card
C00126,F,19,Mobile Payment
C00127,M,64,Mobile Payment
C00128,M,46,Credit Card
C00129,F,42,Credit Card
C00130,M,32,Cash
C00131,F,38,Cash
C00132,F,57,Mobile Payment
C00133,M,43,Mobile Payment
C00134,M,28,Credit Card
C00135,F,28,Credit Card
C00136,F,39,Cash
C00137,M,31,Credit Card
C00138,M,57,Cash
C00139,F,46,Cash
C00140,F,33,Cash
C00141,F,22,Credit Card
C00142,F,43,Mobile Payment
C00143,F,58,Mobile Payment
C00144,M,68,Credit Card
C00145,F,30,Credit Card
C00146,M,26,Credit Card
C00147,F,46,Credit Card
C00148,F,22,Credit Card
C00149,M,51,Credit Card
C00150,M,49,Credit Card
C00151,M,50,Credit Card
C00152,F,62,Cash
C00153,M,54,Credit Card
C00154,M,42,Credit Card
C00155,M,42,Credit Card
C00156,M,51,Credit Card
C00157,F,21,Cash
C00158,F,42,Cash
C00159,M,48,Credit Card
C00160,F,36,Cash
C00161,F,33,Credit Card
C00162,F,35,Cash
C00163,F,30,Mobile Payment
C00164,F,45,Cash
C00165,F,40,Credit Card
C00166,F,62,Mobile Payment
C00167,F,46,Cash
C00168,F,20,Credit Card
C00169,F,69,Credit Card
C00170,M,47,Credit Card
C00171,M,65,Cash
C00172,F,31,Cash
C00173,M,55,Cash
C00174,F,32,Cash
C00175,M,25,Cash
C00176,F,54,Credit Card
C00177,F,33,Mobile Payment
C00178,M,49,Cash
C00179,F,28,Credit Card
C00180,M,65,Cash
C00181,M,28,Mobile Payment
C00182,M,50,Mobile Payment
C00183,M,32,Cash
C00184,F,33,Cash
C00185,F,41,Mobile Payment
C00186,M,41,Mobile Payment
C00187,F,60,Credit Card
C00188,F,34,Mobile Payment
C00189,M,65,Cash
C00190,M,69,Credit Card
C00191,M,38,Credit Card
C00192,M,62,Credit Card
C00193,M,28,Mobile Payment
C00194,M,67,Cash
C00195,F,65,Credit Card
C00196,F,67,Credit Card
C00197,M,41,Credit Card
C00198,F,29,Cash
C00199,F,24,Credit Card
C00200,M,30,Cash
C00201,F,54,Credit Card
C00202,F,28,Credit Card
C00203,F,42,Credit Card
C00204,F,38,Cash
C00205,M,45,Credit Card
C00206,F,64,Cash
C00207,F,66,Credit Card
C00208,F,51,Credit Card
C00209,M,24,Mobile Payment
C00210,F,67,Cash
C00211,F,23,Credit Card
C00212,M,59,Cash
C00213,M,53,Cash
C00214,F,21,Mobile Payment
C00215,F,44,Cash
C00216,M,50,Credit Card
C00217,M,33,Cash
C00218,M,50,Cash
C00219,M,35,Cash
C00220,M,69,Cash
C00221,M,24,Cash
C00222,F,40,Mobile Payment
C00223,M,68,Cash
C00224,M,27,Credit Card
C00225,M,38,Credit Card
C00226,M,22,Cash
C00227,M,61,Cash
C00228,F,42,Cash
C00229,F,58,Mobile Payment
C00230,M,21,Cash
C00231,F,56,Credit Card
C00232,F,35,Cash
C00233,M,19,Mobile Payment
C00234,F,63,Cash
C00235,M,53,Credit Card
C00236,F,35,Cash
C00237,F,42,Mobile Payment
C00238,F,70,Credit Card
C00239,F,62,Credit Card
C00240,F,40,Credit Card
C00241,F,55,Cash
C00242,M,37,Credit Card
C00243,F,55,Credit Card
C00244,F,20,Mobile Payment
C00245,F,43,Cash
C00246,F,54,Mobile Payment
C00247,F,64,Credit Card
C00248,M,56,Cash
C00249,F,62,Credit Card
C00250,F,51,Cash
C00251,M,33,Cash
C00252,F,32,Cash
C00253,F,63,Cash
C00254,M,36,Cash
C00255,M,52,Cash
C00256,M,27,Mobile Payment
C00257,F,41,Credit Card
C00258,F,37,Credit Card
C00259,F,26,Credit Card
C00260,F,66,Cash
C00261,M,47,Credit Card
C00262,M,45,Credit Card
C00263,F,59,Cash
C00264,F,45,Cash
C00265,F,51,Cash
C00266,F,23,Credit Card
C00267,F,70,Cash
C00268,M,21,Credit Card
C00269,F,25,Credit Card
C00270,M,50,Mobile Payment
C00271,F,19,Cash
C00272,M,21,Cash
C00273,M,35,Credit Card
C00274,M,36,Cash
C00275,M,58,Mobile Payment
C00276,F,24,Mobile Payment
C00277,M,46,Credit Card
C00278,F,51,Credit Card
C00279,M,53,Cash
C00280,F,21,Cash
C00281,M,34,Mobile Payment
C00282,M,19,Cash
C00283,M,63,Credit Card
C00284,M,48,Mobile Payment
C00285,M,22,Credit Card
C00286,F,48,Cash
C00287,F,29,Mobile Payment
C00288,F,56,Cash
C00289,M,28,Cash
C00290,F,46,Cash
C00291,M,22,Mobile Payment
C00292,F,60,Mobile Payment
C00293,M,58,Cash
C00294,F,42,Mobile Payment
C00295,F,26,Cash
C00296,M,21,Cash
C00297,F,34,Credit Card
C00298,F,45,Cash
C00299,M,42,Mobile Payment
C00300,F,45,Cash
C00301,M,21,Credit Card
C00302,F,70,Cash
C00303,M,57,Credit Card
C00304,M,25,Cash
C00305,M,44,Credit Card
C00306,M,54,Mobile Payment
C00307,F,20,Credit Card
C00308,F,61,Credit Card
C00309,F,60,Cash
C00310,M,32,Cash
C00311,F,30,Credit Card
C00312,M,31,Credit Card
C00313,F,23,Mobile Payment
C00314,M,58,Cash
C00315,F,55,Credit Card
C00316,F,46,Mobile Payment
C00317,F,49,Credit Card
C00318,M,56,Credit Card
C00319,F,56,Cash
C00320,F,27,Cash
C00321,F,70,Cash
C00322,F,69,Credit Card
C00323,F,45,Credit Card
C00324,M,68,Mobile Payment
C00325,F,23,Credit Card
C00326,M,54,Cash
C00327,M,44,Credit Card
C00328,F,41,Cash
C00329,F,35,Credit Card
C00330,F,24,Credit Card
C00331,M,20,Credit Card
C00332,F,37,Cash
C00333,M,45,Cash
C00334,M,34,Credit Card
C00335,M,70,Mobile Payment
C00336,M,50,Cash
C00337,F,60,Cash
C00338,F,36,Cash
C00339,F,49,Cash
C00340,F,48,Cash
C00341,F,30,Credit Card
C00342,M,32,Cash
C00343,F,61,Cash
C00344,M,34,Cash
C00345,F,35,Cash
C00346,F,43,Cash
C00347,M,25,Cash
C00348,F,40,Credit Card
C00349,M,49,Credit Card
C00350,F,49,Mobile Payment
C00351,M,55,Mobile Payment
C00352,M,68,Cash
C00353,M,27,Cash
C00354,M,40,Cash
C00355,M,60,Credit Card
C00356,F,24,Mobile Payment
C00357,F,25,Cash
C00358,F,37,Credit Card
C00359,F,69,Credit Card
C00360,F,60,Cash
C00361,F,22,Credit Card
C00362,F,40,Cash
C00363,F,48,Credit Card
C00364,F,40,Cash
C00365,M,41,Credit Card
C00366,F,50,Cash
C00367,F,40,Credit Card
C00368,M,65,Cash
C00369,F,24,Credit Card
C00370,F,19,Cash
C00371,F,60,Cash
C00372,F,24,Cash
C00373,F,38,Cash
C00374,F,36,Credit Card
C00375,M,29,Cash
C00376,M,49,Mobile Payment
C00377,F,61,Credit Card
C00378,F,52,Credit Card
C00379,F,66,Cash
C00380,M,33,Credit Card
C00381,M,54,Credit Card
C00382,F,43,Cash
C00383,M,25,Cash
C00384,M,66,Mobile Payment
C00385,F,46,Credit Card
C00386,M,40,Cash
C00387,M,38,Credit Card
C00388,M,53,Credit Card
C00389,F,24,Cash
C00390,F,48,Mobile Payment
C00391,M,31,Cash
C00392,F,51,Cash
C00393,M,21,Cash
C00394,M,40,Credit Card
C00395,F,64,Cash
C00396,M,26,Cash
C00397,M,49,Cash
C00398,M,56,Cash
C00399,F,66,Cash
C00400,F,34,Credit Card
C00401,M,60,Cash
C00402,F,29,Credit Card
C00403,M,44,Cash
C00404,M,44,Credit Card
C00405,M,45,Mobile Payment
C00406,M,27,Credit Card
C00407,F,27,Mobile Payment
C00408,F,63,Cash
C00409,F,52,Credit Card
C00410,M,41,Mobile Payment
C00411,M,52,Cash
C00412,M,47,Cash
C00413,F,65,Cash
C00414,M,20,Cash
C00415,M,59,Credit Card
C00416,M,48,Credit Card
C00417,M,43,Credit Card
C00418,M,43,Cash
C00419,F,67,Cash
C00420,F,30,Credit Card
C00421,M,37,Cash
C00422,M,48,Credit Card
C00423,F,37,Cash
C00424,F,69,Cash
C00425,F,68,Cash
C00426,F,33,Cash
C00427,M,38,Cash
C00428,F,52,Credit Card
C00429,F,49,Cash
C00430,M,39,Cash
C00431,M,53,Credit Card
C00432,F,63,Credit Card
C00433,M,43,Mobile Payment
C00434,M,48,Cash
C00435,M,47,Credit Card
C00436,F,26,Cash
C00437,F,25,Mobile Payment
